,title,reviews,stars
10,Overated place just to take videos for your instagram,"So, I am not really sure where to start. Me and my boyfriend are real foodies, specially enjoy meat and steak restaurants. We have one favourite place in our summer home in Ibiza, where we usually pay 100e for starter, more than 500 g of...More",3
11,dinner,"We spent the great time in this restaurant. The food was delicious, the service excellent, in one word unforgettable customer experience ! Strongly recommended for family or business dinner.",5
12,More than just salt bae,"They use high quality meat cooked to perfection every time, Nusret Baklava is my favorite. Service is always amazing aswell never had any issues here. Prices are okay, don't think they're unfair because you get the taste, quality and service worth more.",5
13,Good Food but HORRENDOUS staff,"Went here with family. First impressions were great; went sour quickly though.
Firstly, when placing the food on the table, the waiter knocked down the tray of fries onto the floor. Things like this happen (no big deal!), but he didn’t bother to bring replacement...More",2
14,Rude service staff with lack of knowledge and non consistent meat quality ,"We visited this restaurant twice during our stay in Istanbul. Not recommended at all. 
Staff were really rude, never used courteous phrases during service.
No one checked on customer satisfaction.  My husband got very chewy steak like rubber which he asked for medium rare.  Waitress...More",1
15,"Too Expensive, rude staff","It was the most tender and juicy steak I've ever had but not worth the price at all.

The staff are rude and selfish and the atmosphere is very uncomplimentary (Etiler branch).",3
16,Mind blowing,"If ur meat lover, this is the place to go, the meat I ever had, so tender and juicy, simply yumilicious",5
17,Too much expectation.,Did go for the first time. Food was excellent. The service rude and not understandable English. We were expecting much better attention.,4
18,Definitely recommend it,"Good place, a bit pricey for a steakhouse, but the food is good and the service is fair. If you've never been there I would definitely recommend it.",4
19,A waste of time,Id like to believe i travelled and had some amazing experiences im restaurants. THIS WAS IS A JOKE. We booked a table for 10 in the afternoon and from the moment we got there the whole experience was the worst iv ever had. Nusret Nusret...More,1
20,Don't bother,We made our reservation one month in advance and arrived 10 min prior. This place looks like a burger king after they kick you out of the club. Staff doesn’t care if you have a reservation. There is nowhere to wait and people are giving...More,1
21,Amazing food,Eating at nusret is a wonderful experience full of energy the and the atmosphere is full of young people,5
22,Best theatre and meat dishes in Turkey,What a fabulous treat to enjoy such wonderful meat dishes in an amazing setting of the old grand bazaar in Istanbul...theatre at its best ....quality and tasty meat dishes ...friendly waiters ...great vibe and a wow factor ...worth every cent 👍,5
23,We couldn’t miss it!,"To visit Nusr-et steakhouse in Istanbul was our goal number one! So we just love it! It was tasty, the show was great and we enjoyed it! There was no line and waiting before we got the table (a lot of people told me that...More",5
24,Always delicious ,"It was really crowded, but the receptionist was so polite and found us a table, the food was good but they forgot to bring us appetizer and salads,  but i can excuse them it was really busy , full  but delicious",3
25,Never order Kafes,"When i ordered Kafes, they brought Kafes Gold (new item) which is not what we ordered. When the bill came kafes gold price was 2.5 times of Kafes. Even we complained they made us pay. Total rip off. Very pushy sales by waiters also, try...More",1
26,Hyped Brand.. salt drizzle will fizzle,"After much anticipated visit, with recommendations for many this was a most disappointing experience.  Food quality good, service very poor, head waiter not interested and waiters that perform the theatre tricks are happy to perform for the camera (build the circus act brand).  

Food never...More",3
27,Good food,"The food is great and the prices are fair comparing to the food quality, but it can be veryyyy crowded on saturdays and you ll have to wait for a table even though u have a reservation",4
28,Worst steakhouse I’ve ever seen,"Worst steakhouse ever! If you want to be treated like animals go to this steakhouse! Food was good but:
- they treat you like animals at the entry
- the so called “steakhouse” didn’t have any type of “beef steaks” left!!!!! We had to only...More",1
29,Great food and atmosphere!,It’s an incredible experience that you have to fell it in person. The food was really tasty. I fully recommend it!,5
30,Nice but expensive food,The serving and restaurant is nice but a bit expensive compared to the other  restaurants in İstanbul.,4
31,Marketing strategy,"We went to Nurs-Et restaurant twice during our stay in Istanbul. The service was great and perfect timing, plus we were not made to wait for long to be seated. Salads are tasty and well-elaborated as well as burgers and meats, but nothing you can...More",4
32,Nice location but the music was a little bit to loud!,"The meat, potatoes, drinks and the Turkish sweets (Baklava) was a fantastic experience. The two bad things about this nice restaurant was the loud music and the waiter. They stand every fuc**ng second by your side. This is the Turkish service but for a tourist...More",4
33,Nusret,"The best place un Istanbul!
Good for a begining of a summer weekend...laud music, excellent meats, best...the baklabas!
Better make reservation...and enjoy",5
34,Great experience,"We were lucky enough to book a great table and enjoy the best dinner experience in Istanbul. 
The service was exceptional even though the restaurant was too busy.
It's a spot that everyone should visit while being in istanbul.",5
35,Best steak house ever,"You can enjoy the best type of meat grill either lamb or cow. 
A wide variety of steaks.   No white meat at this place.",5
36,"Get away from this restaurant. Nice in instragram, horrible in reality",Waited long to get an experience in this restaurant. We were a group of 7 friends with a previous reservation at 21-30h we needed to wait until 22-30h to get a seat. After we ordered the meat was a total deception. Far too expensive for...More,1
37,Nusr-Et grand bazaar,"We have tried Nusr-Et Grand Bazaar of Istanbul, unfortunately the burgers were not as expected. The presentation and service is excellent but the meat is not, too fat in it and clean red meat and it’s too salty. I know it’s the chief specialty but...More",1
38,Avoid ,After all the hype I went there today but I must say i was not impressed...the service was terrible the waiter was holding the bill behind us to kick us out ... they could not speak English so couldn’t help us with recommendations.... for the...More,1
39,Really fun lunch,"We really enjoyed out lunch at Nusr-et. For this visit we went to the restaurant that is in the Grand Bazaar (couldn't find that one on TripAdvisor so posting under their main restaurant).

Their Grand Bazaar restaurant was a great alternative to their main branch...More",5
40,Excellent experience ,"Sticks House offers a very special and exciting menu for its customers, most of which represent the country's food culture in Turkey.
One of the things that makes Nasrat's restaurant popular is the comfort and comfort of the customers in this place and the high...More",4
41,Avoid this overrated tourist trap!!!!,"By far one of the worst restaurant experiences ever.

Made a booking through the Park Hyatt Hotel one month in advance of our dinner at 20:30.  Arrived to the restaurant and told to wait for our turn.  Very loud music and chaotic environment.  Many tourists...More",1
42,Etiler branch,What a fantastic culinary and service experience. Wow wow wow!!! It was my birthday week and I got the most delicious chocolate mouse like cake on the house and was sung to. The food lived up to the hype and the wine list was impressive....More,5
43,#SaltBae,"We got lucky on the day we picked to go to Nusret as we got to see SaltBae live in action. Moreover, Istanbul has over 3 Nusret outlets so it can be tricky with getting the right one. The menu had only a few salad...More",4
44,NO respect,"No respect for the people!!! We booked a table for 4 a mounth before the day, we ended up waiting for whole 2h standing in front of the bar waiting to be seated. The food was mediocre, a tiny overpriced portion, so the only fuzz...More",1
45,Lovely venue and lovely food,"This place has a good rep. Serves no alcohol at all.  The food was absolutely delicious, lovely steaks, lovely burgers, be warned though it can get cramped as there are a lot of tables and chairs quiet close to each other.

The staff are fine...More",3
46,No alcohol here,"We had a wonderful experience the day before Nusr-et Etelier and we decided to repeat the 'indulgence' again today. 

This is located In the vicinity of the Grand Bazaar.  We walked in and got seated at lunch time on the main floor. Was told there...More",4
47,No mistake.,It is one of the best meat housed i have ever been. You enjoy every bite you take. Food and meat are very fresh. You do not want to miss the baklava!,5
48,Overrated.....,"I would have given two points , but since the quality of the meat is actually really good, I had to rate with something better. 
However , nothing really more than that:The restaurant is a typical/mainstream/trend and nothing more than that... The staff , too...More",3
49,"Overestimated. Hectic, no education with the staffs.","It was a business dinner with my important guests, but was the totally wrong choice, because:

- They kept us waiting for an hour without providing seats even we made reservation in advance. (Basically they don't take reservations but just noting name) 
- We were...More",1
50,Fine Dining,"Best tasting burgers and steak ever, this restaurant was better thank the one in Dubai more spacious and better priced food was amazing.",5
51,Best meat ever ,"Excellent food, tried a lot of things and all are excellent. Loved the breaded onions and baked potatoes as well. One of the best restaurants i ever had food in",5
52,Sami,"Not good at all, nothing special.
Tast below expectation. Over priced
Not recommended

Just belong to a famous face",2
53,Absolutely stunning,"Honestly famous for a reason. Food quality is great. Service was perfect. I had a “saltbay smoked” cocktail, and it was amazing.

I had the tomahawk medium rare, saltbay smoked, and their traditional paqlawa.. didn’t regret any of it.",5
54,Awesome,"Great meat, beautiful decor and just about friendly staff - could be improved.

The meat is absolutely tasty, but the desert, baclava with vanilla ice cream is so delicious.

Expensive if you compare with the Turkish reality, however compared to any other European restaurant is...More",4
55,Best meat i ate in my life,I visited istinia park branch. We ordered nusret special and beef asado. The meat is very tasty juicy and well cooked. The desert was baklava with ice cream.. Which was delsious. We paied around 400 tl. Which is very resonable compared to the quality and...More,5
56,Loved loved it ,The place is very vibe and busy. I personally loved the crowd and people waiting to get a table but it can be a long wait so I advice you book in advance. The food was excellent. The meat is so delicious and the variety...More,5
57,Great experience,"Great experience at Nusr-et steakhouse.

The evening started out a little disappointing when we were running late for our reservation sure to traffic. We called ahead, and once arrived were seated almost immediately. Unfortunately it was a really hidden spot, with a huge draft, sharing...More",4
58,What an experience,"This restaurant was alive. Before the visit I had no idea nor had I heard of the head Chef “Salt Bea” but boy do I know it now.

This meat restaurant provided a large mix of meat and we must have had 5 or 6...More",5
59,Very good food but service sucks hard,We were late for 30 min but we got our table 2 min after we came beacuse we were a big group of 7. Food was very good but we never got our fries that was included in our meals. I told them 3 times...More,4
60,Recommended restaurant,"The best restaurant we ate

Excellent quality meat.

Great service.

We'd love to come back again.

Thank you",5
61,Yummi,"My favourite restaurant in istanbul.
Have been many times before and will in each next visit.
Very unique and delicious food.",5
62,Nusret SteakHouse ,great food and hospitality ..  they do a show with every small dish ..  You must go hungry! and if you are a group share with each other so you can eat from everything ..  very good meat,5
63,Bad service,It was really bad service they mixed our order and we ended up with eating ang paying for smoething we didnt order. Even though we talked the maneger he just brushed us of. At the same time its over hyped and over priced. There much...More,1
64,Queue 2h with reservation,If you are ready to wait 2 hours with a reservation come here. Awful organisation. Better to eat a kebab,1
65,Best Meat in Istanbul ,"This is my second time to Nusret. High quality meat with excellent presentation on the table. Staff are professional, friendly,and nice. Dessert is a must. Save some place for it  at the end.",4
66,Too much hype,Made reservations 1 week in advance and called on the day just to make sure. Was told that there was no reservation under my name after about 10 phone calls arranged the reservation. Table for 8.00pm but had to wait at the bar and order...More,2
67,Excellent taste with quality atmosphere ,"We went and had dinner the lamb was really tasty the salad was a bit normal, the baklava with ice cream was a delight, staff were vet friendly hospitality was recognized, the elegance of furniture and ambiance of the place was high class ,  was...More",5
68,only for vegan 😅,"I come back for: 
• meat 
• bakllava 
• great service 
• good atmosphere 

If you are vegan! Gooo there, maybe you can change your mind!",5
69,The king of meat,"Amazing....we tried tomahawk steak,burger,sushi and baklava all served in front of us with fire and special way from the staff !!! The taste was delicious as exprected from its reputation !!",5
70,Bigblackeyes,It was my brother’s birthday when I booked for 10 it was the worst experience I could have. Booked for 10 people at 8:30 let us in at 9:15 giving us table for 6 people so we had to squeeze ourselves round the table the...More,1
71,Be prepared to wait but worth it,"Just got back from Nus-ret and I must say it was a great experience. The food was amazing, we both had the steak and they were courteous enough to swap the baked potato for French fries. But be prepared to wait.

My husband made a...More",4
72,Our favorite restaurant,"I go often with my son and we really like this place, the food is great. I recommend this place to everyone.",5
73,Sooooo Delicious,Super delicious - most amazing meat i ve ever had ❤️ - slow cooked rack and baklava with ice cream are highly recommended,5
74,Excellent!,"This is the place to be for the best steaks in Istanbul.. It is very busy and you have to wait before you get a table.. However, it's worth it and the food is excellent...",5
75,Dinner at Kapali Chersi ,Outstanding authentic location with modern food style and very warm family atmosphere. We loved the ever known quality of meat at Nusret as well as the world class friendly service. The location of the restaurant is just amazing.,5
76,Best. Meat. Ever.,"Although the atmosphere seems kind of machine like from the moment you step in, the high demand for reservations at Nusret may warrant keeping things moving. The experience is unlike anything I’ve witnessed. The shows that are put on while serving the food keep you...More",4
77,Great Steaks,"It is a world renowned Steak house, you have to make a booking and go there on time because you will probably have to wait an hour before you get a seat. Its a big restaraunt but its overbooked and people wait in line for...More",5
78,if want meet go there,"give you special taste of meet    all kind of meet  stakes   all
is so  good serve there are so  nice   they smile all  time  meet type special only for them",5
79,The worst Service in Istanbul for sure,"We booked at this place that was once a landmark in the city 
We were advised from hotel concierge that there is a table at 7PM only

We came to the place on time and there was no table!
We were advised that the booking...More",1
80,Better and much cheaper than their UAE branches ,"I live the UAE and Nusret is a very popular fine dining establishment. On Turkey it is a much more fun place and the prices are probably 25 percent of what you pay in the the UAE.

You'll need to book online a week or...More",5
81,Such a disappointment!!,"Made a reservation 2 weeks in advance and put in a request that it was for my birthday celebration and asked if possible to have a good table. When we arrived at the restaurant, I was confused for a second if it was the right...More",1
82,Lovely food...definitely worth a visit,Came with family after hearing such great reviews. Restaurant was busy when we arrived but we were kindly seated upstairs within a couple of minutes of arriving. The waiter who served us recommended we order a selection from the menu so that we could taste...More,4
83,Great great great,"Nusret Burgers (if to be well done) are the best in the world, no doubt!!!
I have tested it 2 times, and all of my friends loved it so much as well",5
84,My first bad experience at nusret,"It was my first time here, we did a reservation since 1 week ago and we wait 1:30h and the food was average , it is not worth it at all",1
85,Once-in-a-lifetime experience,"First been here 4 years ago, and Nusret is still as good as always. Although the prices are high, Nusret is a one of a kind experience. The atmosphere is hip and relaxed; the waiters are always engaged and energetic; the meat is always perfect....More",5
86,It's a hype It's an institution,"Arriving without reservation, we had about 120 people waiting in the bar area. Having some drinks, we observed the crowd and had to wait for 45 min. The meat was excellent (we took three different varieties).Salads were also excellent as well as the famous baklava...More",4
87,Amazing,My first time visiting Nusret in Etiler. It was a amazing experience beside that we needed to wait two hours before getting our table and we hade a booked reservation. They need a better system when it comes to reservation and people that wants to...More,5
88,It looked like everything was for free,"Because it was SUPERBUSY. 
If you don’t have a reservation, please avoid it.

I just had to try it after watching all those youtube videos. We had:
Carpaccio - 1st time eating it, loved it!
Beef sushi - The show is greater than the sushi...More",5
89,The best restaurant in Istanbul 😍,"The restaurant is just amazing, the staff are  really helpful and have a amazing greeting. Food is definitely delicious and you can tell form the taste that it is 100% organic and natural. 

You must try !!!",5
90,The best place for stick,So good a place and food was great and location perfect. I cam with my family and we found good and friendly service,5
91,Worth it!,"Nusr-Et is something out of the ordinary Turkish restaurants. It’s not simple traditional dishes but sophisticated new recipes cooked to precision. Everything about my experience was great...actually beyond great.
The staff was friendly and the service was quick. We were amazed by the simple yet...More",5
92,was amazing,"best meat taste EVER!
best Burger taste EVER!
and also..
BEST BAKLAVA TASTE EVER.
value price for the food quality. 
thanks NUSRET",5
93,As Usual Great,The vibe and the experience is a must go.  Visited 3 times for 5 day visit to Istanbul. Their meats are best.,5
94,Best Burgers and Meat I have ever had!,"The food was amazing! We ordered a salad first which is one of their specialities, it was great! The burgers and steaks were literally the best we have ever had! The dessert (Baklava with Ice Cream) was the best I have tasted in Turkey. I...More",5
95,"a Christmas lunch ,,,,","we went their for our Christmas lunch ,,the food is really nice and the meat is  juicy and well prepared... the staff need to be more friendly and  flexible to communicate with ,,,,even the salad was amazing ,,,its worth to visit the place and the...More",4
96,Hyped,"This place is full of hype, though the food was good but does not match the hype.

We didn't have reservation therefore we have to wait for some time to be seated.

And it's not cheap eaither",3
97,"Overprized, medium quality","I have visited at different locations, but I found overprized, quality of good medium, and the service not like the first days.
Unfortunately almost like every restaurant quality goes down after a certain time.",2
98,Becoming too much commercial,I have been to Nusret both in the previous and in the current location. The current one is very big and very noisy. The service has beecome an industrial chain with no more love in serving. I found it very pushy in selling more and...More,3
99,Ok but waiting a lot,"We booked a table to have a nice dinner experience with my guest they really wanted eat here and i made a reservation and went there 
When we went there wait about an hour to get our booked table even i asked on the phone...More",3
100,Even a great product can be too expensive...,"If I would judge only the food I would have to give at least six points but this wouldn’t give a the right picture!

Food: 6 points
Concept: 5 points
Staff: 4 points 
Costs: 1 point 

I mean good products are costly and this is...More",3
101,great burgers,looking fir a great burger come here order a simple nusr et burger and the meat flaviore will not go away fir days,5
102,Thank You,"I'll skip the food part, it was amazing.

I'm here to thank the staff who attended us and made us feel home. My son caught a fever just when we got sat on our table and there were 3 staff who were constantly with us...More",5
103,Always on the top,"What can someone say about NusrEt? I come again and again and it keeps surprising me and my company
It never loses being a high quality steakhouse but what s more important is the way it has to make your dinner there unique and unforgettable....More",5
104,Place overly priced and not worth it..,Nusret was good in old days but now its like any avarage steak house prices are still very high and to be honest with you its not worth it anymore.Used to be good place to eat and joy of good food now arabic restaurant with...More,1
105,Not good for family,"The waiter not happy  and brought the food Not well done, they serve the other customer came later before me in spite of we had reserved the table early, and the brought the meets not cooked well, also I've requested from the waiter to site...More",2
106,Great place love the presentation,"Meat is amazing, lots of choices the display and presentation are cool!!  Despite how busy they are we had a great service.. Loved the desert.",5
107,Nusret,Very Good Rest. Tasty and delicious food for meat lovers. Can’t get enough. Amazing live show food serving to certain items on the menu. Try baklava with ice cream good combination.,4
108,Best Steakhouse ,"When visiting Istanbul, do not miss Nusret. Honestly, if it's not the best steakhouse in the world it would be one of the best. It's better to reserve before you come. You can do it online. Nice decoration, friendly staff and the food is awesome....More",5
109,amazing food with the most helpful staff with the worst management ever.,Been to almost every branch of this restaurant from Dubai to Istanbul however yalikavak was horrible. Our reservation was for 830 pm however we didn't get to sit down until 9.30 they have simply just over book. Genuinely felt for the staff as one of...More,1
110,Superstar Nusret,"It became a pilgrimage site, the cue, waiting for a table, is unbelievable. It's chaotic, noisy and the stuff is not very friendly. The meet is excellent.....so nothing for a candle light or comfortable family dinner. Never have seen that before that people get that...More",2
111,Nusret Burger,"Had to wait for 15 minutes to get a table, which was not too bad. Tried the Nusret Burger first, and loved it! Beautifly seasoned, rested and served juicy! Out of curiosity, we had to try the Lokum Burger. It was an amazing SANDWICH (IMHO)...More",5
112,Mukkemel,The best steak house in istanbul . A fine restaurant with an excellent choice of meat. Reservation should be made earlier. But still had to wait about 20 minutes,5
113,Birthday lunch ,"Veryh high profesional management 
We went for birthday lunch for my sun 
No mistake , no problem 
Food wine alll good 
Staff is very cool and helpfull 
Try ribs and hamburger 
Not cheap but it worths",4
114,Too good,"I waited for over a hour for my table although I had a reservation but it was well worth it
The food was amazing 
The waiters were on the ball 
It was well worth the price tag

Well done 
Superb food",5
115,Do not ever go to istinye park mall branch,"Just walked out after a bit of a drama.. disrespectful staff who have no intention to wait on you, a rest. Management who could not care less. I wish mr. Nusret would spend more time in uae observing what restaurant hospitality is all about or...More",1
116,Went twice in 5 days,"Yes it's that good! And if you don't wanna wait you can always call to book a few ahead of time.

Have the nusret special! Do not miss it especially if you like butter and tender pieces of meat.",5
117,"Horrible Service, Rude Host and Food overpriced and not good at all.",We had heard great things about this restaurant and were so eager to try it out. We booked for a Sunday evening while we were in Istanbul for a week and got there half an hour before our reservation as we had heard it gets...More,1
118,A wow restaurant,"Everything tasted amazing.
We had to wait about an hour to be seated but while we waited we were served some testers every now and then to make you feel the wait was worth it and it really was. Very creative, delicious(mouth watering meats) staff...More",5
119,Birthday Celebration Dinner,"The best beef, lamb ever. The meat would just melt in your mouth, the quality is outstanding and the portions incredibly  generous. The venue is very smart and the staff was amazing. Until next time...",5
120,لذييييذ,"باختصار لذيذ ويستاهل الروحة ويستاهل قيمته..اللي يحب اللحم ضروري يروح له

Delicious.. worth every lira
It is a must for meat lovers",5
121,A visit to be done,"It is a place to visit, the environment and the concept is nice, the food is very good (mainly meat) 
the price is very expensive",5
122,Rudest phone staff,I was hung up on twice in a row when trying to make a reservation because when he asked for a phone number I explained that it was international and I don't have a local number because I'm on vacation. I have never been treated...More,1
123,Overbooking means less service and quality,"Great meat but they made to many reservations which means 20 minutes wait before the table was ready,1 menu list for 4 persons and the staff was to busy to pay attention to our table",3
124,Dinner ,It was a friend advice to go to nusret and so I did it's a 30min drive from old city it's super crowded and must reserve a day ahed which I did and had to wait for an hour to finely find us a place...More,5
125,average,"i was shocked by the food served. i request the meat to be well-done and when i received it , it was still reddish for both plates. not worth to visit again.",2
126,my experience at the Nusret Resturant,"it was great and fantastic
food was delicious and although it was really busy but the service was great.",5
127,simply the TASTE,"starting from step in to step out evrying so professional and also set up for costemer satisfaction. nice service , delicious metas frendliy staff. what else we need ?",5
128,Amazing Place,"Busy place during the weekend, nice staff , food so good
Love all dishes , salads , ,sweets
Thanks to Joly and sinan
I like to come back again",4
129,The taste of the Heaven,"Do not miss the experience ! Please !
Every bite is a taste of heaven.

We went there in a group of four and we shared all the food. 
The Kafas is very delicious and the waiter served it in a very sexy way, believe...More",5
130,Overall good food but Best Baklawa ever,"I went over lunch and we had shared all the food. The salads were great and the beef was outstanding. The lamb chops were ok. 

But the Baklawa is out of this world. Worth the calories :)",4
131,Spot on,"Went there on a recommendation of a couple of my friends who are carnivores, so I had high expectations.

And thankfully I wasn't disappointed the food was great the atmosphere was killer desert was good and the tea to finish things off and adjust your...More",5
132,"Meat, meat and meat!","If you're looking for a great steak house, you have arrived. The food is fresh and delicious, the service is quick and efficient. Nice venue for groups and family. The ice cream biklawa for dessert is magnificent.",4
133,2nd time but not very satisfied ,"This is the 2nd time we are here for dining. There are obvious reasons for coming back here, but I'm afraid this time thing was not convincing enough to make me come back for the 3rd time :
1: both of our foods were not...More",3
134,Great Meat restaurant !,"We went to this famous restaurant on a Thursday and it was packed . Lucky we made a booking.
The service is very good, the quality of meat is superb and menu selection especially for meat is plenty.
The restaurant includes a terrace at the...More",5
135,Simply amazing food !,"Have visited Nusret restaurants several time and always do that with immense pleasure.

The food is simply amazing... one of the best i ever tried in my world wide trips.  

If you want to experience a jump in heaven choose the lamb riba rack (Kefes)...More",5
136,Best stake,This is the best stake i've had in turkey. The place looks like an old hub that makes you enjoy the experience to the fullest.,5
137,Taste is great,"One of the best stake houses i have ever been to. It is comparable with the best stake available in New York.
Dessert and tea is a must after the food.",5
138,Over evaluated ,"This is one of the restaurants that i should be very precise in my evaluation towards it:
Location: very busy street and lots of restaurants around it.
Restaurant atmosphere: very noisy because so crowded at dinner time indoors and outdoors , the smell of raw...More",3
139,Best place for meat ,"We had a reservation for 9PM, but the place was so crowded that we had to wait till 10PM to get a table.

However, it was worth to wait that long. All dishes were fantastic and I ate the best lamb I ever had. Though...More",5
140,Dinner worth visiting,We had three-course menu with delicious meat. The service was very helpful and I would recommend visiting Nusret if you like good meat dishes.,5
141,Is an experience to make...,"Very busy and unusual steakhouse........may be this is the Turkish style.
At the entrance a huge fridge full of nice air dry aged meats welcomes you and you see the nice and busy open kitchen with more meat cuts display.
The service is very unipersonal...More",4
142,One of the best steakhouse in turkey,Nusret is one of the best steakhouse in turkey. The meat is delecious! And the atmosphere perfect. You have to taste their desert: the baklawa,4
143,Our for Dinner with the family ,"If you like meat and you are in Istanbul you must go to Nusret, by far one of my favorite steakhouse restaurants.
Beef lamb all good and the ambiance is nice.",5
144,Extra ordinary,"I have been to Nishan Tasi branch for a finner,i asked for beef burger.it was simply excellent,mouth watering..Pure Turkish beef fone in American way",5
145,Worst service i have ever come across.,"After making a booking a week i advance, we turn up to the venue with a party of 7, our vehicles doors are opened with a welcome and we immediately notice a overflow of people on the stairs and the outside the doors of the...More",1
146,"Amazing food, Avoid ordering alcohol, there is main Nusret in Etiler and other 2 small Nusret Burgers. So don't ",As a Turkish I live in Istanbul and visited Nusret for many times. Do not leave your order choice to the waitresses as they are trained to select the most expensive wines without warning you. When they offer you drink while waiting is also charged....More,3
147,Nusret steak house,"Best steak ever at NUSRET steak house. Earthy, modern and authentic taste. Plus the dessert is very unique. We keep on visiting this restaurant every time we come to Istanbul. The best required 👍👍👍",5
148,"Very disappointed, below expectations!","I was very interested in visiting this so called 'best restaurant' however i left very disappointed.!
To be the best you should have quality service as well as food. We had a reservation done, arrived on time however made us wait for over 30 minutes....More",3
149,GREAT,"the best steak in istanbul
nusret is a must
the food is amazing and the staff are very friendly
its worth the wait",5
150,Incomparable ,"The best meat restaurant I've ever been in Istanbul. It's heavy but tasteful, every dish is enough for two ppl. 
But watch out, it's not cheap.",5
151,Slightly below expectations..,"The meat served was 10/10. I have nothing more to say on this because it's one of the best I had. We were four people and we tried 4 different types of meat served as a table to share. All was great, cooked at best....More",4
152,amazing and fascinating,It was an amazing experience.The place was highly crowded and we had to Waite for a while even though we made reservations.But at the end we got our table and the food was something extraordinary.,4
153,Absolutely the Best Meat in Istanbul,"I have been here on multiple occasions and just love it.  The variety is mind boggling and the taste heavenly.  Get a reservation or be prepared to wait.  The wait is well worth it.

PS You also should ALWAYS eat the baklava for dessert",5
154,steak in Turkey..,if you want to have steak in Turkey this is the place.Different steaks ..service is not so good(we were there on a Friday night) but prices are more than fair.,4
155,Not as good as old times..,"I have tried this restaurant since the begining many times and I can say as much as it gets populer it looses its charm. Crowded, noisy, expensive and service is average but it is still populer. You must try and judge. Meats you should try...More",4
156,Worth experience ever!,"NOT RECOMMENDED!
The concierge at our hotel made us a reservation for dinner at 9:00 pm. We were there at 8:50. The place is super crowded. The receptionnist writed our name on a long waiting list. We waited there standing for 25 min and finally...More",1
157,Best Steakhouse in Turkey,"Awesome place, with delicious dishes and best wines , especially  wine from California ! Beef is made with heart and service is excellent! special thx for Mr. Nusrat!",5
158,Awesome and unique restaurant  ,If you visit Istanbul don't leave without eating at Nusret. But be prepared and patient to wait for a table. Good place for steak lovers and of course kunafa with ice cream is a good end to a great meal.,5
159,All around great restaurant!,"Fantastic steaks, luqum, and all kinds of amazing meats. And after all the main stuff is done, there's the icecream-filled baklava that nobody should miss! i dont even eat baklava and i loved it. Also great staff who help you not be wasteful by telling...More",5
